,Tweet_ID,Score,Twitt_Text,Words
0,1268929210871091206,0.55,"Before entering the shopping mall,
As a measure against coronavirus,
Automatic temperature measurement

If you are infected with this virus
In many cases, it causes heat
This test is an effective measure

But about…  ","['entering', 'shopping', 'mall', 'measure', 'coronavirus', 'automatic', 'temperature', 'measurement', 'infected', 'virus', 'many', 'case', 'cause', 'heat', 'test', 'effective', 'measure']"
1,1268929335588724736,0.09523809523809523,"It is World Environment Day today and there is a ton of content going around about protecting the environment, global warming, how the current pandemic serves right to the humanity and how the nature is healing with…  ","['world', 'environment', 'day', 'today', 'ton', 'content', 'going', 'around', 'protecting', 'environment', 'global', 'warming', 'current', 'pandemic', 'serf', 'right', 'humanity', 'nature', 'healing']"
2,1268929625591287811,0.05,"#Repost grassrootslaw
・・・
Breonna Taylor would have turned 27 years old today.
⠀
Just 3 months ago, Breonna was an essential worker – an EMT working at two hospitals during the COVID-19 pandemic.
That was before…  ","['repost', 'grassrootslaw', 'breonna', 'taylor', 'would', 'turned', '27', 'year', 'old', 'today', '3', 'month', 'ago', 'breonna', 'essential', 'worker', 'emt', 'working', 'two', 'hospital', 'covid', '19', 'pandemic']"
3,1268929861663457280,0.225,"Such a rush to be back doing what we love with our 1st event since Covid rocked our world- Celebrations are essential as we continue to be safe!

#mealdelivery #mealpickup #chef #atyourhome #chefinspiredmeals…  ","['rush', 'back', 'love', '1st', 'event', 'since', 'covid', 'rocked', 'world', 'celebration', 'essential', 'continue', 'safe', 'mealdelivery', 'mealpickup', 'chef', 'atyourhome', 'chefinspiredmeals']"
4,1268930197665001480,0.0,"Sneeze screens starting to go up between tables, yes I will remove the protection plastic film!! #chippenham #brasserie #british #pub #Vegetarian #vegan #logfire #supportsmallbusiness #local #covid_19  The Foxham Inn  ","['sneeze', 'screen', 'starting', 'go', 'table', 'yes', 'remove', 'protection', 'plastic', 'film', 'chippenham', 'brasserie', 'british', 'pub', 'vegetarian', 'vegan', 'logfire', 'supportsmallbusiness', 'local', 'covid', '19', 'foxham', 'inn']"
5,1268930504058863617,0.0,"#Babafmupdates 
Panic at Kampala City Hall as some suspected cases of COVID19 were reported amongst KCCA staff!
#BabaAt10  Bugembe  ","['babafmupdates', 'panic', 'kampala', 'city', 'hall', 'suspected', 'case', 'covid19', 'reported', 'amongst', 'kcca', 'staff', 'babaat10', 'bugembe']"
6,1268930608870445057,0.13636363636363635,"Makes you think 🤔 #dahvedlevyrockingyou  #protests #coronavirus #nodeaths  Brooklyn, New York  ","['make', 'think', 'dahvedlevyrockingyou', 'protest', 'coronavirus', 'nodeaths', 'brooklyn', 'new', 'york']"
7,1268932298617085960,0.18939393939393934,"Hey Fam. The global pandemic unfortunately brought many of our projects to a grinding halt. One of them was the launch of our new Basic 🥯 Bagel concept. 

We partnered with bakers out of NYC to build, as best we…  ","['hey', 'fam', 'global', 'pandemic', 'unfortunately', 'brought', 'many', 'project', 'grinding', 'halt', 'one', 'launch', 'new', 'basic', 'bagel', 'concept', 'partnered', 'baker', 'nyc', 'build', 'best']"
8,1268932349053431811,0.0,Fighting Stigma — Iraqi militiamen drop guns to dig graves for coronavirus victims: Stigma and unfamiliar rites. The team has struggled to expand beyond its dozen or so members. Some medics say suspected exposure to the virus ...  ,"['fighting', 'stigma', 'iraqi', 'militiaman', 'drop', 'gun', 'dig', 'graf', 'coronavirus', 'victim', 'stigma', 'unfamiliar', 'rite', 'team', 'struggled', 'expand', 'beyond', 'dozen', 'member', 'medic', 'say', 'suspected', 'exposure', 'virus']"
9,1268932349166641153,0.2,Fighting Stigma: Coronavirus Ireland: Young child fighting for life after being admitted to ICU with Covid-19: This is according to the latest report by the Health Protection Surveillance Centre. The child was put into a critical care facility in the 24…  ,"['fighting', 'stigma', 'coronavirus', 'ireland', 'young', 'child', 'fighting', 'life', 'admitted', 'icu', 'covid', '19', 'according', 'latest', 'report', 'health', 'protection', 'surveillance', 'centre', 'child', 'put', 'critical', 'care', 'facility', '24']"
10,1268932356183691264,0.13636363636363635,Fighting Stigma : New guidance published for family lawyers in coronavirus pandemic: The Law Society of Ireland's family and child law committee has updated its guidance on issues arising from the COVID-19 pandemic. The updated ...  ,"['fighting', 'stigma', 'new', 'guidance', 'published', 'family', 'lawyer', 'coronavirus', 'pandemic', 'law', 'society', 'ireland', 'family', 'child', 'law', 'committee', 'updated', 'guidance', 'issue', 'arising', 'covid', '19', 'pandemic', 'updated']"
11,1268932949870772225,0.5,"Dear neighbors and friends,
Many of you already know us well and those of you just get to know us, know we are minority-owned businesses and our lives depend on it. With COVID-19, it already had devastated us and…  ","['dear', 'neighbor', 'friend', 'many', 'already', 'know', 'u', 'well', 'get', 'know', 'u', 'know', 'minority', 'owned', 'business', 'life', 'depend', 'covid', '19', 'already', 'devastated', 'u']"
12,1268933595583954946,0.3666666666666667,"we have the same kind of stardust in our souls 
.
butterflies rising
.
.
.
photography  
model alsheeps 
outfit  
#pandemic #creative #lucianmatis #125kcrystals  Scotsdale Farm  ","['kind', 'stardust', 'soul', 'butterfly', 'rising', 'photography', 'model', 'alsheeps', 'outfit', 'pandemic', 'creative', 'lucianmatis', '125kcrystals', 'scotsdale', 'farm']"
13,1268933700227645443,-0.2625,"Long before the pandemic.
Now that I think about it, this picture was taken late last year and the veil has been in my closet since 2010.
🙆‍♀️🤦‍♀️

I just noticed the veil is torn and I was kinda feeling bad cause…  ","['long', 'pandemic', 'think', 'picture', 'taken', 'late', 'last', 'year', 'veil', 'closet', 'since', '2010', 'noticed', 'veil', 'torn', 'kinda', 'feeling', 'bad', 'cause']"
14,1268934348343922693,0.17045454545454544,"Return to the new “norm”. Yes, that’s us! 
+
+
#dental #dentalassistant #dentalpractice #praisdental #dentistry #london #smilemonth #london🇬🇧 #dentalpatient #scrubs #scrubslife #crossinfectioncontrol #covid19…  ","['return', 'new', 'norm', 'yes', 'u', 'dental', 'dentalassistant', 'dentalpractice', 'praisdental', 'dentistry', 'london', 'smilemonth', 'london', 'dentalpatient', 'scrub', 'scrubslife', 'crossinfectioncontrol', 'covid19']"
15,1268934549309992969,0.22727272727272724,2020 is for change. Let’s not take COVID &amp; the recent protests for granted. What new practices have we learned? How has our mindset changed? What are we going to do differently? Make a change for the better. Love you…  ,"['2020', 'change', 'let', 'take', 'covid', 'amp', 'recent', 'protest', 'granted', 'new', 'practice', 'learned', 'mindset', 'changed', 'going', 'differently', 'make', 'change', 'better', 'love']"
16,1268934626287980544,0.0,0,0
17,1268934718176755712,0.0,"🔥 OUT NOW 🔥
#прорекламу #ковид #корона #коронавирус #карантин #covid #covid_19 #coronavirus #corona  Moscow, Russia  ","['covid', 'covid', '19', 'coronavirus', 'corona', 'moscow', 'russia']"
