,Tweet_ID,Score,Twitt_Text,Words
0,1253787810156425219,0.05,"Reposted from  ● This is life after the coronavirus lockdown in Wuhan.⠀
⠀
● Hubei was the last region of China to resume daily life, with curbs on movement lifted progressively from late March until April 8, more…  ","['reposted', 'life', 'coronavirus', 'lockdown', 'wuhan', 'hubei', 'last', 'region', 'china', 'resume', 'daily', 'life', 'curb', 'movement', 'lifted', 'progressively', 'late', 'march', 'april', '8']"
1,1253787819320971264,0.0,"When COVID-19 allows you to build a generator box  Roodepoort, Gauteng  ","['covid', '19', 'allows', 'build', 'generator', 'box', 'roodepoort', 'gauteng']"
2,1253788045528182784,-0.03571428571428571,"COMMITTED with overcoming this public healthcare challenge in front of us 👊🏽👊🏽👊🏽 We are sourcing millions of COVID-19 items every day, MICRO-Verifying every single manufacturer and supplier, and updating inventory…  ","['committed', 'overcoming', 'public', 'healthcare', 'challenge', 'front', 'u', 'sourcing', 'million', 'covid', '19', 'item', 'every', 'day', 'micro', 'verifying', 'every', 'single', 'manufacturer', 'supplier', 'updating', 'inventory']"
3,1253788455798267904,0.3333333333333333,Could it be a heart attack? Do not delay care because you're concerned about COVID-19. Call 911 and save a life. This quick animated clip can help people of all ages identify the signs of a heart attack.  ,"['could', 'heart', 'attack', 'delay', 'care', 'concerned', 'covid', '19', 'call', '911', 'save', 'life', 'quick', 'animated', 'clip', 'help', 'people', 'age', 'identify', 'sign', 'heart', 'attack']"
4,1253788895893913600,0.11607142857142858,0,0
5,1253789182767628294,0.1,"This time last year, I would have finished laying wreaths at the ANZAC Day services at cabravalediggers and mounties.⁠⠀
.⁠⠀
#Covid19 has really disrupted our every day lives; how we do things, how we celebrate, how…  ","['time', 'last', 'year', 'would', 'finished', 'laying', 'wreath', 'anzac', 'day', 'service', 'cabravalediggers', 'mountie', 'covid19', 'really', 'disrupted', 'every', 'day', 'life', 'thing', 'celebrate']"
6,1253789521910603777,0.5,#fridayfavorites 🍒#CoconutGrove and #CoralGables are top of our requests from buyers during this COVID-19 crisis as northern families explore options of living in sunny South Florida. Both areas are known for their…  ,"['fridayfavorites', 'coconutgrove', 'coralgables', 'top', 'request', 'buyer', 'covid', '19', 'crisis', 'northern', 'family', 'explore', 'option', 'living', 'sunny', 'south', 'florida', 'area', 'known']"
7,1253789698583126019,-0.00833333333333334,"Today is Friday, April 24, 2020.

Coronavirus outbreak and lockdowns are worldwide. 

My allergy shots are three months behind due to most doctors doing telephone appointments &amp; consultation during the Coronavirus…  ","['today', 'friday', 'april', '24', '2020', 'coronavirus', 'outbreak', 'lockdown', 'worldwide', 'allergy', 'shot', 'three', 'month', 'behind', 'due', 'doctor', 'telephone', 'appointment', 'amp', 'consultation', 'coronavirus']"
8,1253790713747247104,-0.017045454545454548,"Throwback to a little taste of Provence at theavasocial restaurant and lounge by  in the archerhotelnewyork. 🇺🇸 Save this post for your next dinner out in New York (AFTER COVID of course). 🥘
.
Although…  ","['throwback', 'little', 'taste', 'provence', 'theavasocial', 'restaurant', 'lounge', 'archerhotelnewyork', 'save', 'post', 'next', 'dinner', 'new', 'york', 'covid', 'course', 'although']"
9,1253790792365162496,-0.1,"Three generations in one frame.

Sorry Dad, if I meet you rarely because of #COVID19.☹️

#Father, #Dad, #Papa, no matter what you call them they influence our lives and they are the person we look up to.

Photo…  ","['three', 'generation', 'one', 'frame', 'sorry', 'dad', 'meet', 'rarely', 'covid19', 'father', 'dad', 'papa', 'matter', 'call', 'influence', 'life', 'person', 'look', 'photo']"
10,1253791015380582402,0.0,"Even the plants are coming for us now. #tulipwithteeth #white #tulip #blossom #spring #covid #lockdown #murrayhill #manhattan #nyc  Murray Hill, Manhattan  ","['even', 'plant', 'coming', 'u', 'tulipwithteeth', 'white', 'tulip', 'blossom', 'spring', 'covid', 'lockdown', 'murrayhill', 'manhattan', 'nyc', 'murray', 'hill', 'manhattan']"
11,1253791114919886854,0.0,"COVID-19: Arts &amp; Advocacy in Windsor-Essex Region
.
Update on CERB, Office of the Minister of Canadian Heritage (April 16, 2020)
.
Updates + Resources:  
.
Image Credit: StellrWeb
#YQG #ACWR #ADVOCACY #YQGStandsStrong
Canadian Heritage  ","['covid', '19', 'art', 'amp', 'advocacy', 'windsor', 'essex', 'region', 'update', 'cerb', 'office', 'minister', 'canadian', 'heritage', 'april', '16', '2020', 'update', 'resource', 'image', 'credit', 'stellrweb', 'yqg', 'acwr', 'advocacy', 'yqgstandsstrong', 'canadian', 'heritage']"
12,1253791321757712386,0.0,"After over a month of trying, we FINALLY have flour! 🙌🏻 #thankyouinstacart #covid19 #stayhome  Ballard, Seattle  ","['month', 'trying', 'finally', 'flour', 'thankyouinstacart', 'covid19', 'stayhome', 'ballard', 'seattle']"
13,1253791372932296704,0.05,"Giving Tuesday Now is Tuesday, May 5th. ⁣
⁣
Slide left for some ideas for your nonprofit to participate in this day of generosity that is in direct response to Covid-19.⁣
⁣
#GivingTuesdayNow emphasizes opportunities…  ","['giving', 'tuesday', 'tuesday', 'may', '5th', 'slide', 'left', 'idea', 'nonprofit', 'participate', 'day', 'generosity', 'direct', 'response', 'covid', '19', 'givingtuesdaynow', 'emphasizes', 'opportunity']"
14,1253791783668064257,-0.3125,"Everyday Is... 1 Day Closer to Re-Opening!!

3100 Timmons 
  7135222068
.
.
.
#blowdrybar #BlowDryBarHtown #blowdrylessons #blowdrybarriveroaks #covid19 #livingproof #dryshampoo…  ","['everyday', '1', 'day', 'closer', 'opening', '3100', 'timmons', '7135222068', 'blowdrybar', 'blowdrybarhtown', 'blowdrylessons', 'blowdrybarriveroaks', 'covid19', 'livingproof', 'dryshampoo']"
15,1253791861971484673,0.3333333333333333,"Interested in joining the Marines, but dont know how to during this Covid issue?

Here's a quick reference on how it works out.

Think you got what it takes to earn the title, PROVE IT! 🦅🌎⚓️

DM me or give me a…  ","['interested', 'joining', 'marine', 'dont', 'know', 'covid', 'issue', 'quick', 'reference', 'work', 'think', 'got', 'take', 'earn', 'title', 'prove', 'dm', 'give']"
